avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,satisfaction,status,tenure,last_evaluation_missing,underperformer,unhappy,overachiever,department_IT,department_Missing,department_admin,department_engineering,department_finance,department_management,department_marketing,department_procurement,department_product,department_sales,department_support,salary_high,salary_low,salary_medium
154,0.0,0.0,2,0.0,0.42222487368100003,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
259,0.0,0.763606785571,2,0.0,0.787468036595,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
136,0.0,0.0,3,0.0,0.441057742416,0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
176,0.0,0.0,3,0.0,0.871386303936,0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
231,0.0,0.937508765506,4,0.0,0.668369478474,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
109,1.0,0.79806865971,3,0.0,0.5378283407,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
130,1.0,0.716030369805,6,0.0,0.17545398857,0,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
163,0.0,0.550433958621,2,0.0,0.544376725538,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
184,0.0,0.762948071371,4,0.0,0.61761099451,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
268,0.0,0.943844634761,3,0.0,0.936081051349,0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
188,0.0,0.862307681863,3,0.0,1.0,0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
107,0.0,0.474348552013,2,0.0,0.615676166623,0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,0.0,0.621111081488,3,0.0,0.428014178318,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
234,1.0,0.8615650350660001,4,0.0,0.627199942868,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,0.0,0.0,5,0.0,0.8343801414409999,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
282,0.0,0.723354974146,5,0.0,0.21399181926199998,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
133,0.0,0.971212666951,3,0.0,0.8188199040199999,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
270,0.0,0.475292596644,6,0.0,0.150336701933,0,5.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184,0.0,1.0,5,0.0,0.29712401191599996,0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
132,0.0,0.495013019585,2,0.0,0.438559831841,1,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
126,1.0,0.821486564704,3,0.0,0.772891198476,0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
139,0.0,0.856088542854,4,0.0,0.683456025422,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
308,0.0,0.863262837113,7,0.0,0.12435022511299999,1,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
147,0.0,0.0,2,0.0,0.401974706734,1,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
274,0.0,0.8423573127449999,5,0.0,0.803068372458,1,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
278,0.0,0.7662557761059999,7,0.0,0.148641753756,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
156,0.0,0.988904841707,4,0.0,0.456248436343,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
185,0.0,0.598749268628,4,0.0,0.869204283803,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
263,0.0,0.744946770195,6,0.0,0.759619999861,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
260,0.0,0.765783959048,5,0.0,0.7113291174519999,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
224,0.0,0.561019606401,5,0.0,0.905668551956,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
224,0.0,0.910270844185,4,0.0,0.615978243951,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,0.0,0.533361920913,2,0.0,0.388070140261,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
147,0.0,0.713746663503,2,0.0,0.967868020835,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
245,0.0,0.932526593689,7,0.0,0.061173622746199995,1,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
203,1.0,0.49447927450900003,3,0.0,0.49237655522600005,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
235,1.0,0.73584977947,4,0.0,0.928861452039,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
187,0.0,0.734682887881,3,0.0,0.213485171732,0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
132,0.0,0.535231622309,2,0.0,0.42982208453000004,1,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
258,0.0,0.8137737730760001,7,0.0,0.14659318475400002,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
165,0.0,0.522047696785,4,0.0,0.851394379473,0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
146,0.0,0.531577278913,2,0.0,0.40195381894599996,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
159,0.0,0.6941007196279999,3,0.0,0.556401858998,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
198,0.0,0.749982470997,2,0.0,0.5269607252449999,1,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,0.0,0.483106967958,2,0.0,0.43881926966000007,1,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
275,0.0,0.573595902184,2,0.0,0.8946585127779999,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
141,0.0,0.9324622172700001,3,0.0,0.8107253215670001,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
173,0.0,0.0,4,0.0,0.862683386414,0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
203,0.0,0.586132024189,5,0.0,0.7037557887379999,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
203,0.0,0.60609019318,4,0.0,0.274144973785,0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
230,0.0,0.801731335549,5,0.0,0.129582617236,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,0.0,0.589119714762,4,0.0,0.475901903919,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183,0.0,0.7161328456389999,3,0.0,0.786998508273,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
246,0.0,0.32841671516800003,5,0.0,0.46155334875799997,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
209,0.0,0.707901456874,5,0.0,0.8315822395450001,0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
224,0.0,1.0,3,0.0,0.527417463367,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
143,0.0,0.5832228237039999,2,0.0,0.477948490242,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
140,0.0,0.999150412396,2,0.0,0.503040551037,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,0.0,0.7890820210680001,3,0.0,0.725231676188,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,0.0,0.50256282621,3,0.0,0.6355032887100001,0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
186,0.0,0.859763957297,3,0.0,0.72966753059,0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0.0,0.502258814493,3,0.0,0.800482237797,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158,0.0,0.543576313346,2,0.0,0.35252008265100004,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
156,0.0,0.0,3,0.0,0.549054592827,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
283,0.0,0.0,3,0.0,0.5500036519100001,0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0.0,0.511793620362,4,0.0,0.632133263962,0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
214,1.0,0.0,4,0.0,0.96940778655,0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
181,1.0,0.674893831177,3,0.0,0.547941153654,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
140,0.0,0.8013227652580001,4,0.0,0.526745455356,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
184,0.0,0.918450089622,4,0.0,0.914882604937,0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
168,1.0,0.389626690049,3,0.0,0.394051564841,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
146,0.0,0.55743729675,2,0.0,0.47110465860899997,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
251,0.0,0.871911091013,4,0.0,0.69605347067,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
219,0.0,1.0,5,0.0,0.7345794152089999,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
170,0.0,0.5180136841480001,2,0.0,0.35208228555699994,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
187,0.0,0.680370266157,4,0.0,0.1891154715,0,5.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
207,0.0,0.495033514598,3,0.0,0.576405944943,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
165,0.0,0.598530648395,5,0.0,0.7695363808910001,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
241,0.0,0.7665448208769999,3,0.0,0.851892327123,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
139,0.0,0.0,4,0.0,0.7718169921889999,0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
165,0.0,0.838420070517,3,0.0,0.59824818897,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
167,0.0,0.625649373344,5,0.0,0.487113849919,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
163,0.0,0.9277176671590001,4,0.0,0.792414076414,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,0.0,0.6950976140449999,2,0.0,0.6116886966539999,0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
271,0.0,0.96930400526,6,0.0,0.172048602687,1,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
310,0.0,0.8581791690270001,7,0.0,0.14712496977,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
257,0.0,0.725018808946,4,0.0,0.7620304084749999,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
278,0.0,0.862236739522,7,0.0,0.0979844302499,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
229,0.0,0.630154827545,3,0.0,0.0815637410362,0,6.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,0.0,0.560171575754,3,0.0,0.7360631891859999,0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
211,0.0,0.947729025431,4,0.0,0.35597975138099996,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
248,0.0,0.0,4,0.0,0.62362639988,0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
231,1.0,0.0,3,0.0,0.74538874343,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
266,0.0,0.872041703232,3,0.0,0.6941903176809999,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
135,0.0,0.451192121989,2,0.0,0.39165185993900004,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
248,0.0,1.0,5,0.0,0.700604105528,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
161,0.0,0.7257235561579999,4,0.0,0.785723886722,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,0.0,0.872785533979,3,0.0,0.531863130276,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,0.0,0.5838703653739999,3,0.0,0.381824395741,0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
160,0.0,0.8907127240180001,3,0.0,0.7617650303319999,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
268,0.0,0.797235381041,5,0.0,0.851411583712,0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
116,1.0,0.845078318802,4,0.0,0.30986864722199997,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
150,0.0,0.5594000392230001,2,0.0,0.444263576884,1,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
146,0.0,0.500957306437,2,0.0,0.41123374914399996,1,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
215,0.0,0.42169221611599994,6,0.0,0.606946725712,0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
194,0.0,0.534309122293,5,0.0,0.9691907978030001,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
200,0.0,0.425131894498,5,0.0,0.565407293567,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
213,0.0,0.7704638243340001,3,0.0,0.543262177395,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
163,0.0,0.905180515303,3,0.0,0.93331321955,0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
148,0.0,0.4730269242600001,2,0.0,0.443427763613,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
245,0.0,0.506201222856,2,0.0,0.454911641867,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
250,0.0,0.873045465289,3,0.0,0.5534421048,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
250,1.0,0.828825763738,5,0.0,0.8329556956280001,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
173,0.0,0.725963978215,2,0.0,0.452392397848,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
248,1.0,0.896942281485,4,0.0,0.741786835002,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
158,0.0,0.6355457358300001,5,0.0,0.9562389338420001,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
196,0.0,0.840207778701,4,0.0,0.468987245804,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
265,0.0,0.626653131615,3,0.0,0.906159310018,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
159,0.0,0.8681210202140001,3,0.0,0.9612353993170001,0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
262,0.0,0.9077315488680001,5,0.0,0.9724230583560001,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,0.0,0.403619418352,3,0.0,0.2846772958,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
278,0.0,0.7778811669,7,0.0,0.11472468691299999,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
248,0.0,0.859383829667,5,0.0,0.933486376879,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
275,0.0,0.524095060049,3,0.0,0.63172969046,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
258,0.0,0.866158286663,5,0.0,0.293123234813,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
253,0.0,1.0,5,0.0,0.852952125868,1,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
165,0.0,0.643410636607,4,0.0,0.16155364248600002,0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
269,1.0,0.7673690699250001,3,0.0,0.248522034985,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
148,0.0,0.538478484226,2,0.0,0.467529517276,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
156,1.0,0.950282237768,4,0.0,0.672060063083,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
274,1.0,0.811500420662,4,0.0,0.839058813805,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
196,1.0,1.0,3,0.0,0.7055853587180001,0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
146,1.0,0.358995978401,3,0.0,0.6231064824970001,0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
274,0.0,0.48990481118600004,2,0.0,0.666894021832,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
139,0.0,0.519776982615,2,0.0,0.372463409943,1,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132,0.0,0.437142715501,4,0.0,0.6312002898,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
231,1.0,0.6155106313359999,5,0.0,0.237030559811,0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
254,0.0,0.547034374298,4,0.0,0.50542191225,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
189,0.0,0.539467271436,4,0.0,0.831444386447,0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
104,0.0,0.7891253512559999,5,0.0,0.780337175913,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
254,0.0,0.8708564231899999,4,0.0,0.829745630485,1,5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
253,0.0,0.557354737359,5,0.0,0.729650605495,0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
170,0.0,0.661489034844,2,0.0,0.48690010474,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
195,0.0,0.6909413383930001,3,0.0,0.87212292845,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
255,0.0,0.560749082033,5,0.0,0.79270387677,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
194,0.0,0.8649809478849999,4,0.0,0.547342771376,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
260,0.0,0.879114107825,5,0.0,0.78934688115,1,5.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,1.0,0.42001828530100005,4,0.0,0.371534723609,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
219,0.0,0.0,5,0.0,0.933851070889,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
187,0.0,0.9602857150390001,4,0.0,0.681413302736,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
252,0.0,0.7789527068619999,4,0.0,0.7705464679449999,0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
281,0.0,0.5319367588699999,4,0.0,0.190744825973,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
163,0.0,0.6159380740829999,4,0.0,0.947393875335,0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
155,0.0,0.897609838916,3,0.0,0.946144709958,0,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
208,0.0,0.602807580192,4,1.0,0.894854282967,0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
280,0.0,0.9487579819580001,6,0.0,0.15219272264,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
137,0.0,0.8747940390160001,3,0.0,1.0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
242,0.0,0.9314667165639999,4,0.0,0.635757610027,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
229,0.0,0.6679889957590001,2,0.0,0.893746528107,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
269,0.0,0.874320460481,6,0.0,0.041301712235199996,1,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
173,0.0,0.7233648727590001,5,0.0,0.534218145207,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
153,0.0,0.588430038133,5,0.0,0.5463948579919999,1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
282,0.0,0.981290494137,6,0.0,0.0635892582279,1,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
233,0.0,0.543301856706,4,0.0,0.581044902784,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
275,0.0,0.39608459497599996,3,0.0,0.21891461663000003,0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
179,0.0,0.568593436749,3,0.0,0.716163504506,0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
195,0.0,0.8362479055159999,5,0.0,0.7833914467380001,0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
206,0.0,0.5820628938369999,2,0.0,0.7847315074310001,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
239,0.0,0.9193735912809999,4,0.0,0.829871872261,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
208,1.0,0.816689813888,4,0.0,0.8343786753139999,0,3.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
150,0.0,0.676225844419,3,0.0,0.29292957209000003,0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
219,0.0,0.0,4,0.0,0.8738126953380001,0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
172,0.0,0.0,5,0.0,0.326353372,1,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
201,0.0,0.7256709052,3,0.0,0.7502317842370001,0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
222,0.0,0.9648475789200001,5,1.0,0.8898269772290001,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
228,0.0,1.0,2,0.0,0.24817499443500002,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
198,0.0,0.9541910464200001,2,0.0,0.583854409074,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
146,0.0,0.5055583083290001,2,0.0,0.42032739552000004,1,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
219,0.0,0.8857658498909999,6,0.0,0.294741730228,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
257,0.0,0.831322416354,5,0.0,0.9952780066050001,0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
